Name;Rank;Abilities;Goal;Backstory
Asmodeus;King of Demons;Lust, Power, Revenge;Power the depths of the mind;Once a mighty king of the underworld, Asmodeus seeks to reclaim his lost glory by manipulating the desires of mortals.
Bael;King of the East;Wealth, Wisdom, Protection;Acquire ancient knowledge;Bael, a guardian of the East, seeks to uncover long_forgotten secrets to protect his realm from unseen threats.
Ipos;Prince and Earl;Knowledge, Divination, Necromancy;Unlock the mysteries of the future;Ipos delves into the realm of the unknown to uncover the threads of fate and communicate with the spirits beyond the veil.
Agiel;General;Revenge;Avenge past betrayals;Agiel, a fierce warrior, seeks to settle old scores and bring justice to those who have wronged him.
Vassago;Prince;Divination, Pathfinder;Discover hidden truths;Vassago navigates the tangled paths of destiny to reveal the truths that lie concealed from mortal eyes.
Gamigin;Marquis;Healing, Knowledge;Restore balance and wisdom;Gamigin uses his healing touch and vast knowledge to mend broken souls and bring clarity to clouded minds.
Marbas;President;Healing, Knowledge;Heal the body and mind;Marbass expertise in both physical and spiritual healing is sought by those in need of relief and restoration.
Valefor;Duke;Theft, Cunning, Evil Counsel;Amass forbidden knowledge;Valefor, with his cunning intellect, seeks to unlock the secrets of the forbidden and gain power through manipulation.
Amon;Marquis;Wealth, Love, Vengeance;Attain prosperity and love;Amon, a seeker of wealth and affection, also harbors a desire for retribution against those who have wronged him.
Barbatos;Duke;Wisdom, Nature, Harmony;Seek unity in the natural world;Barbatos, a steward of nature, strives to maintain balance and harmony in the realms he oversees.
Paimon;Chief of Music;Art, Music, Revelation;Inspire creativity and unlock the divine;Paimons melodies stir the hearts of mortals and reveal glimpses of the heavens.
Buer;President;Healing, Medicine;Repair the body and soul;Buers healing touch and medicine offer solace to the sick and wounded seeking rejuvenation.
Gusion;Duke;War, Wisdom, Philosophy;Guide warriors to victory;Gusions strategic acumen leads armies to triumph on the battlefield and in the realm of philosophy.
Sitri;Prince;Love, Lust, Desire;Fulfill the desires of the heart;Sitris allure and seductive charm awaken the passions and deepest desires within mortals.
Beleth;King;Love, Death, Destruction;Explore the depths of passion and loss;Beleth, a sovereign of emotions, reveals the intensity of love and the pain of separation.
Leraje;Marquis;Archery, War, Vengeance;Hone skills in precision and war;Lerajes mastery of the bow and thirst for vengeance make him a formidable force in battle.
Eligos;Duke;War, Courage, Visions;Empower warriors with valor;Eligos bestows courage and insight to those who fight for a righteous cause.
Zepar;Duke;Love, Lust, Impotence;Heal broken hearts and wounded pride;Zepar mends shattered relationships and restores pride to those stripped of dignity.
Botis;President;Protection, Healing, Justice;Uphold balance in the realms;Botis safeguards the innocent and ensures justice prevails in the face of adversity.
Bathin;Duke;Transformation, Travel, Revelation;Journey through realms of change;Bathin guides travelers through the shifting landscapes of transformation, leading to enlightenment.
Sallos;Duke;Love, Passion, Attraction;Kindle the flames of desire;Sallos ignites passions and attraction between souls seeking love and connection.
Purson;King;Knowledge, History, Discovery;Uncover forgotten wisdom;Pursons revelations of ancient knowledge and historical truths enrich the minds of seekers.
Marax;Earl;Cattle, Earth, Nature;Preserve fertility and abundance;Maraxs stewardship of the land ensures the prosperity and sustenance of all living creatures.
Ipos;Count Earl;Math, Logic, Astronomy;Unlock the secrets of the cosmos;Iposs mathematical precision and astronomical insights unravel the mysteries of the universe.
Aim;Duke;Fire, Purity, Creativity;Ignite the flames of creation;Aims fiery essence fuels the creative passions of artists and craftsmen seeking purity in their work.
